Company1,Company2,weight
HUM Network,Young Presidents' Organization (Pakistan),1
HUM Network,Systems Limited,1
HUM Network,Jahangir Siddiqui & Company Limited,1
K Electric Limited,VISION NETWORK TELEVISION LIMITED   ,1
K Electric Limited,AMAN FOUNDATION,1
K Electric Limited,INSTITUTE OF BUSINESS ADMINISTRATION,1
K Electric Limited,  CUPOLA FOOD SERVICES (PVT.) LIMITED ,1
K Electric Limited,CUPOLA PAKISTAN LIMITED ,1
K Electric Limited,CUPOLA PERFUMERIES (PVT.) LIMITED ,1
K Electric Limited,CUPOLA TRAVEL (PVT.) LIMITED ,1
K Electric Limited,GRAY MACKENZIE RESTAURANTS INTERNATIONAL LIMITED,1
K Electric Limited,Abraaj Group,6
K Electric Limited,MSF Pakistan,1
K Electric Limited,FAMCO,1
K Electric Limited,Dubai Cares  ,1
K Electric Limited,Education for Employment and Junior Achievements MENA Board,1
K Electric Limited,United Nations Global Compact Business for Peace Steering Committee,1
K Electric Limited,World Presidents Organization,1
K Electric Limited,Injaz Al-Arab,1
K Electric Limited,Wamda Ltd,1
K Electric Limited,Mustaqbali Foundation,1
K Electric Limited,Al-Jomaih Holding Co. (Saudi Arabia),1
K Electric Limited,"National Industries Group, Kuwait",1
K Electric Limited,"Proclad Group Limited, UAE",1
K Electric Limited,Network International LLC.,1
K Electric Limited,Marine Hospitality Holdings Ltd.,1
K Electric Limited,Inter State Gas Systems (Pvt) Ltd.,2
K Electric Limited,Faisalabad Electric Supply Co. Ltd.,1
K Electric Limited,Genco Holdings Pvt Ltd.,1
K Electric Limited,Islamabad Electric Supply Co. Ltd.,1
K Electric Limited,Pakistan Herald Publications Ltd.,1
K Electric Limited,Pak Oman Investment Co. Ltd.,1
K Electric Limited,Port Qasim Authority,1
K Electric Limited,Dawood University of Engineering & Technology,1
K Electric Limited,National Power Parks Management Company Ltd,1
K Electric Limited,"GENCO-II, Guddu ",1
K Electric Limited,"GENCO-V, Nandipur",1
K Electric Limited,Gujranwala Electric Power Company,1
K Electric Limited,Institute of Chartered Accountants in England & Wales,3
K Electric Limited,Government of Pakistan,3
K Electric Limited,Pak Arab Refinery Limited,1
HUB Power Company Ltd,Engro Vopak Terminal Ltd.,3
HUB Power Company Ltd,Engro Polymer Trading (Pvt) Ltd.,2
HUB Power Company Ltd,Engro Powergen Ltd.,5
HUB Power Company Ltd,Engro Eximp Agriproducts (Pvt) Ltd.,3
HUB Power Company Ltd,Elengy Terminal Pakistan Ltd.,1
HUB Power Company Ltd,Engro Elengy Terminal Pvt Ltd.,1
HUB Power Company Ltd,Laraib Energy Ltd.,3
HUB Power Company Ltd,Sindh Engro Coal Mining Co. Ltd.,1
HUB Power Company Ltd,Engro Foundation,2
HUB Power Company Ltd,The Pakistan-japan Business Forum,1
HUB Power Company Ltd,Thar Power Co. Ltd.,2
HUB Power Company Ltd,American Institute of Chemical Engineers,1
HUB Power Company Ltd,Pakistan Engineering Council,1
HUB Power Company Ltd,Sukkur Institute of Business Administration,1
HUB Power Company Ltd,Green Power Private Ltd.,1
HUB Power Company Ltd,Beacon Energy Ltd.,1
HUB Power Company Ltd,Foundation University,1
HUB Power Company Ltd,Fauji Foods Ltd,1
HUB Power Company Ltd,Fauji Foundation,1
HUB Power Company Ltd,Daharki Power Holdings Ltd.,1
HUB Power Company Ltd,Fauji Kabirwala Power Co. Ltd.,1
HUB Power Company Ltd,Foundation Wind Energy-I Ltd.,1
HUB Power Company Ltd,Foundation Wind Energy-II (Pvt) Ltd.,1
HUB Power Company Ltd,Fauji Meat Ltd.,1
HUB Power Company Ltd,Fauji Fresh N Freeze Ltd.,1
HUB Power Company Ltd,Institute of Taxation Management,1
HUB Power Company Ltd,Engro Management Services Pvt Ltd.,2
HUB Power Company Ltd,Engro Innovative Automation Pvt Ltd.,1
HUB Power Company Ltd,Engro Energy ltd,2
HUB Power Company Ltd,National Commodity Exchange Ltd.,1
HUB Power Company Ltd,Sindh Board of Investment,1
HUB Power Company Ltd,Pakhtunkhwa Energy Development Organization,1
HUB Power Company Ltd,KASB Modaraba,1
HUB Power Company Ltd,Cyan Ltd,1
HUB Power Company Ltd,Patek (Pvt) ltd,2
HUB Power Company Ltd,Sach International (Pvt) ltd,2
HUB Power Company Ltd,Dawood Lawrencepur Ltd,2
HUB Power Company Ltd,Tenaga Generasi Ltd,2
HUB Power Company Ltd,Pebbles (Pvt) ltd,2
HUB Power Company Ltd,DH Fertilizers,2
HUB Power Company Ltd,Sirius (Pvt) Ltd.,1
HUB Power Company Ltd,Sindh Paper Mills Pvt Ltd,1
HUB Power Company Ltd,Dawood Industries,1
HUB Power Company Ltd,Dawood Group,1
HUB Power Company Ltd,Haji Alimohamed Foundation,1
HUB Power Company Ltd,Metro Power Co Ltd,1
HUB Power Company Ltd,Haji Tar Mohammed Kassam Teli Charitable Trust,1
HUB Power Company Ltd,Reon Energy Solutions,1
HUB Power Company Ltd,Hub Power Holdings,1
HUB Power Company Ltd,Towershare Pvt Ltd.,1
HUB Power Company Ltd,Pakistan Poverty Alleviation Fund,1
HUB Power Company Ltd,The Karachi Education Initiative,1
HUB Power Company Ltd,Karachi School For Business & Leadership,1
HUB Power Company Ltd,Pakistan Centre for Philanthropy,1
HUB Power Company Ltd,Beaconhouse National University,1
HUB Power Company Ltd,World Economic Forum,1
HUB Power Company Ltd,The Indus Entrepreneurs,1
HUB Power Company Ltd,Asia House,1
HUB Power Company Ltd,Pakistan Education Task Force,1
HUB Power Company Ltd,i-Care Foundation,1
HUB Power Company Ltd,Pakistan Business Council,1
HUB Power Company Ltd,Young Presidents' Organization (Pakistan),1
HUB Power Company Ltd,Institute of Chartered Accountant of Pakistan,1
HUB Power Company Ltd,Institute of Chartered Accountants in England & Wales,1
HUB Power Company Ltd,Pakistan Institute of Corporate Governance,1
HUB Power Company Ltd,National Management Foundation,1
HUB Power Company Ltd,Gul Ahmed Wind Power Ltd.,1
HUB Power Company Ltd,Dawood Hercules Corporation ,4
HUB Power Company Ltd,Dawood Corp,2
HUB Power Company Ltd,Ibrahim Agencies Pvt,1
HUB Power Company Ltd,ABL Asset Management Company Limited,1
HUB Power Company Ltd,Arabian Sea Country Club,1
HUB Power Company Ltd,Faisalabad Industrial Estate Development & Management Co.,1
HUB Power Company Ltd,Atlas Power Limited,1
HUB Power Company Ltd,Kot Addu Power Company Limited,1
Allied Bank Limited,HUB Power Company Ltd,2
HUB Power Company Ltd,Ibrahim Fibre Limited,1
HUB Power Company Ltd,Pakistan Mercantile Exchange,1
HUB Power Company Ltd,Sindh Engro Coal Mining Co. Ltd.,2
HUB Power Company Ltd,Engro Foods Ltd,1
HUB Power Company Ltd,Engro Fertilizers Limited,2
HUB Power Company Ltd,Askari Cement Company,1
HUB Power Company Ltd,Fauji Akbar Portia Marine Terminal Limited ,1
HUB Power Company Ltd,Fauji Oil Terminal And Distribution Company Limited ,1
HUB Power Company Ltd,"Pakistan Maroc Phosphore, S.A., Morocco",1
HUB Power Company Ltd,Foundation Power Company Daharki Limited ,1
HUB Power Company Ltd,FFC Energy Limited,2
HUB Power Company Ltd,Askari Bank Limited,1
HUB Power Company Ltd,Fauji Fertilizer Bin Qasim Limited,2
HUB Power Company Ltd,Fauji Cement Company Limited,1
HUB Power Company Ltd,Pak Suz Motor Comp Limited,1
HUB Power Company Ltd,Mutual Funds Association of Pakistan,1
HUB Power Company Ltd,Central Depository Co. of Pakistan Ltd.,1
HUB Power Company Ltd,Habib Bank Financial Services (Pvt) Ltd.,1
HUB Power Company Ltd,Rupali Polyester ltd,1
HUB Power Company Ltd,Fauji Fertilizer Company Limited,2
HUB Power Company Ltd,Mari Petroleum Company Limited,2
Bank Al Habib Limited,HUB Power Company Ltd,1
HUB Power Company Ltd,Engro Corporation Limited,5
HUB Power Company Ltd,INSTITUTE OF BUSINESS ADMINISTRATION,1
Kot Addu Power Company Limited,Neelum Jhelum Hydro-Power Co.,1
Kot Addu Power Company Limited,Pakistan Wapda Foundation,1
Kot Addu Power Company Limited,Water & Power Development Authority,1
Kot Addu Power Company Limited,Swift Textile Mills Pvt Ltd.,1
Kot Addu Power Company Limited,Gul Ahmed Bio Films Ltd.,1
Kot Addu Power Company Limited,Metro Property Network Pvt Ltd.,1
Kot Addu Power Company Limited,Gul Ahmed CBMC Glass Co. Ltd.,1
Kot Addu Power Company Limited,First Credit and Investment Bank Limited,1
Kot Addu Power Company Limited,Lakhra Coal Development Co. Ltd.,1
Kot Addu Power Company Limited,WAPDA First Sukuk Co. Ltd.,1
Kot Addu Power Company Limited,WAPDA Second Sukuk Co. Ltd.,1
Kot Addu Power Company Limited,Water & Power Development Authority,1
Kot Addu Power Company Limited,Institute of Cost & Management Accountants of Pakistan,1
Kot Addu Power Company Limited,The Lahore Stock Exchange (Guarantee) Ltd.,1
Kot Addu Power Company Limited,Millat Tractors Limited,1
Allied Bank Limited,Kot Addu Power Company Limited,1
Kot Addu Power Company Limited,Atlas Power Limited,1
HUB Power Company Ltd,Kot Addu Power Company Limited,1
Kot Addu Power Company Limited,Institute of Chartered Accountant of Pakistan,1
United Bank Limited,Kot Addu Power Company Limited,1
Kot Addu Power Company Limited,Pakistan Institute of Corporate Governance,1
Kot Addu Power Company Limited,Metro Power Co Ltd,1
Kot Addu Power Company Limited,KASB Modaraba,1
Nishat Chunian Power Limited,MCB Employees Security Systems & Services Pvt ltd,1
Nishat Chunian Power Limited,Pakgen Power Ltd,1
Nishat Chunian Power Limited,Lalpir Power Ltd,1
Nishat Chunian Power Limited,Pakistan Agricultural Storage & Services Corp.,1
Nishat Chunian Power Limited,Bakhtawar Amin Memorial Trust,1
Nishat Chunian Power Limited,Adamjee Insurance Company Limited,2
Nishat Chunian Power Limited,Nishat Power Ltd,1
Nishat Chunian Power Limited,Adamjee Life Assurance Co. Ltd.,1
Nishat Chunian Power Limited,The Insurance Association of Pakistan,1
Nishat Chunian Power Limited,Pakistan Insurance Institute,1
Nishat Chunian Power Limited,Institute of Chartered Accountant of Pakistan,2
Nishat Chunian Power Limited,Nishat (Aziz Avenue) Hotels & Properties Ltd.,1
Nishat Chunian Power Limited,Nishat (Raiwind) Hotels & Properties Ltd.,1
Nishat Chunian Power Limited,Nishat (Gulberg) Hotels & Properties Ltd.,1
Nishat Chunian Power Limited,Nishat Paper Products Co,1
Nishat Chunian Power Limited,MCB Financial Services Ltd.,1
Nishat Chunian Power Limited,NC Entertainment Pvt Ltd.,2
Nishat Chunian Power Limited,NC Holdings Ltd.,1
Nishat Chunian Power Limited,NC Electric Co. Ltd.,1
Nishat Chunian Power Limited,NC Energy Ltd.,1
Nishat Chunian Power Limited,Mian Muhammad Yahya Trust,2
Nishat Chunian Power Limited,Saleem Memorial Trust Hospital,2
Nishat Chunian Power Limited,Nishat Hotels & Properties Ltd.,1
Nishat Chunian Power Limited,Lahore University of Management & Sciences.,1
Nishat Chunian Power Limited,Nishat Chunian Limited,6
MCB Bank Limited,Nishat Chunian Power Limited,3
Nishat Chunian Power Limited,Pakistan State Oil Ltd,1
Nishat Chunian Power Limited,D.G Khan Cement Limited,1
Nishat Power Ltd,Nishat Hospitality Pvt ltd,2
Nishat Power Ltd,Security General Insurance Ltd,4
Nishat Power Ltd,Gulf Nishat Apparel Ltd,1
Nishat Power Ltd,Pakistan Aviators & Aviation Pvt,2
Nishat Power Ltd,Nishat Automobiles Pvt Ltd,1
Nishat Power Ltd,Nishat Real Estate Development Co. Pvt Ltd,1
Nishat Power Ltd,Nishat Spinning Pvt ltd,2
Nishat Power Ltd,Nishat Commodities Pvt ltd,1
Nishat Power Ltd,City Developers (Pvt) Ltd.,1
Nishat Power Ltd,Sheikh Fuels (Pvt) Ltd.,1
Nishat Power Ltd,Sheikh CNG (Pvt) Ltd.,1
Nishat Power Ltd,Gibraltar Power Ltd.,1
Nishat Power Ltd,City Builders (Pvt) Ltd.,1
Nishat Power Ltd,City CNG (Pvt) Ltd.,1
Nishat Power Ltd,lahore Chamber of Commerce & Industry,1
Nishat Power Ltd,Institute of Chartered Accountant of Pakistan,1
Nishat Power Ltd,Sui Northern Gas Pipeline  Limited,1
Nishat Power Ltd,D.G Khan Cement Limited,2
Nishat Power Ltd,Nishat Agriculture Farming Pvt Ltd.,1
Nishat Power Ltd,Nishat (Aziz Avenue) Hotels & Properties Ltd.,1
Nishat Power Ltd,Nishat (Raiwind) Hotels & Properties Ltd.,1
Nishat Power Ltd,Nishat (Gulberg) Hotels & Properties Ltd.,1
Nishat Power Ltd,Nishat Farm Supplies Pvt Ltd.,1
Nishat Power Ltd,Nishat Paper Products Co,1
Nishat Power Ltd,Nishat Hotels & Properties Ltd.,2
Nishat Power Ltd,Nishat Dairy Pvt Ltd.,1
Nishat Power Ltd,Nishat Mills Limited,3
Nishat Power Ltd,Pakgen Power Ltd,4
Nishat Power Ltd,Lalpir Power Ltd,3
Dolmen City Reit,Al Feroz Pvt Ltd,1
Dolmen City Reit,Pakistan Opportunities Ltd,3
Dolmen City Reit,Sukh Chayn Gardens Pvt Ltd.,1
Dolmen City Reit,Remmco Builders & Developers Ltd.,2
Dolmen City Reit,Parkview Co. Ltd.,1
Dolmen City Reit,Arif Habib Equity (Pvt) Ltd,2
Dolmen City Reit,Serendib Stock Brockers Pvt ltd,2
Dolmen City Reit,Arif Habib Real Estate Services,1
Dolmen City Reit,Nooriabad Spinning Mills ltd,1
Dolmen City Reit,Arif Habib Foundation,2
Dolmen City Reit,International Complex Project Ltd,2
Dolmen City Reit,Real Estate Modaraba Management Co ltd,1
Dolmen City Reit,Sweetwater Dairies Pakistan (Pvt) Ltd.,1
Dolmen City Reit,Rotocast Engineering Co. (Pvt) Ltd.,1
Dolmen City Reit,Arif Habib Dolmein Reit Management Ltd,5
Dolmen City Reit,Pakistan Private Equity Management Ltd.,3
Dolmen City Reit,Arif Habib DMCC,1
Dolmen City Reit,Safe Mix Concrete Ltd,2
Dolmen City Reit,Javedan Corporation Ltd,1
Dolmen City Reit,Power Cement ltd,2
Dolmen City Reit,PICIC Asset Management Co ltd,1
Dolmen City Reit,Summit Bank ltd,1
Dolmen City Reit,Dolmen Group,1
Dolmen City Reit,Dolmen (Private) Ltd.,1
Dolmen City Reit,Sindbads Wonderland (Private) Ltd.,1
Dolmen City Reit,Amusement Services (Private) Ltd.,1
Dolmen City Reit,Retail Avenue (Private) Ltd.,1
Dolmen City Reit,Grove (Pvt) Ltd.,1
Dolmen City Reit,"International Council of Shopping Centers, Inc.",1
Dolmen City Reit,Middle East Council of Shopping Centers,1
Dolmen City Reit,Pakistan Institute of Capital Markets,3
Dolmen City Reit,REIT Management Ltd,1
Dolmen City Reit,Institute of Capital Markets,1
Dolmen City Reit,Aisha Steel Mills Ltd,1
Dolmen City Reit,Saudi Pak Insurance Co ltd,1
Dolmen City Reit,Beg Associates,1
Dolmen City Reit,Thatta Power Pvt Ltd,1
Dolmen City Reit,MCB-Arif Habib Savings and Invts Ltd,2
Dolmen City Reit,Arif Habib Corporation,3
Dolmen City Reit,Mutual Funds Association of Pakistan,1
Dolmen City Reit,Institute of Chartered Accountant of Pakistan,1
Dolmen City Reit,Pak Elektron Limited,1
Dolmen City Reit,Asia Care Health & Life Insurance Co. Ltd,1
Fatima Fertilizer Company Ltd,Arif Habib Consultancy,1
Fatima Fertilizer Company Ltd,Remmco Builders & Developers Ltd.,1
Fatima Fertilizer Company Ltd,Memon Health & Education Foundation,1
Fatima Fertilizer Company Ltd,fatimafert ltd,1
Fatima Fertilizer Company Ltd,Reliance Sacks Ltd.,3
Fatima Fertilizer Company Ltd,Bubber Sher Pvt Ltd.,3
Fatima Fertilizer Company Ltd,Reliance Weaving ltd,4
Fatima Fertilizer Company Ltd,Reliance Commodities Pvt Ltd.,1
Fatima Fertilizer Company Ltd,Fatima Energy Ltd.,1
Fatima Fertilizer Company Ltd,Fatima Group,3
Fatima Fertilizer Company Ltd,Gadoon Packing Pvt Ltd.,1
Fatima Fertilizer Company Ltd,Fazal Weavings Mills Ltd.,3
Fatima Fertilizer Company Ltd,Fatima Fibers Ltd.,3
Fatima Fertilizer Company Ltd,Fatima Trading Co. Pvt Ltd.,3
Fatima Fertilizer Company Ltd,Air One Pvt Ltd.,3
Fatima Fertilizer Company Ltd,Fatima Holding Ltd.,3
Fatima Fertilizer Company Ltd,Furrukh Trading Co. Pvt Ltd.,2
Fatima Fertilizer Company Ltd,Reliance Sugar Mills Ltd.,1
Fatima Fertilizer Company Ltd,DH Fertilizers,4
Fatima Fertilizer Company Ltd,Arif Habib Corporation,1
Fatima Fertilizer Company Ltd,National Management Foundation,1
Fatima Fertilizer Company Ltd,Javedan Corporation Ltd,2
Fatima Fertilizer Company Ltd,Power Cement ltd,1
Fatima Fertilizer Company Ltd,Safe Mix Concrete Ltd,1
Fatima Fertilizer Company Ltd,Institute of Capital Markets,2
Fatima Fertilizer Company Ltd,Arif Habib Foundation,1
Fatima Fertilizer Company Ltd,Rotocast Engineering Co. (Pvt) Ltd.,1
Fatima Fertilizer Company Ltd,Real Estate Modaraba Management Co ltd,1
Fatima Fertilizer Company Ltd,Arif Habib Real Estate Services,1
Fatima Fertilizer Company Ltd,Nooriabad Spinning Mills ltd,1
Fatima Fertilizer Company Ltd,Remmco Builders & Developers Ltd.,1
Fatima Fertilizer Company Ltd,Institute of Chartered Accountant of Pakistan,1
Fatima Fertilizer Company Ltd,Sui Northern Gas Pipeline  Limited,1
Fatima Fertilizer Company Ltd,Arif Habib Equity (Pvt) Ltd,1
Engro Fertilizers Limited,FAZAL CLOTH MILLS LIMITED,1
Engro Fertilizers Limited,Mukhtar Trading Co. Pvt Ltd.,1
Engro Fertilizers Limited,Philips Pakistan Ltd,1
Engro Fertilizers Limited,Delta Shipping Pvt Ltd.,1
Engro Fertilizers Limited,Delta Transport Pvt Ltd.,1
Engro Fertilizers Limited,Selar Enterprises Pvt ltd ,1
Engro Fertilizers Limited,Petroleum Institute of Pakistan,1
Engro Fertilizers Limited,Agritech ltd,1
Engro Fertilizers Limited,The Institution of Engineers Pakistan,1
Engro Fertilizers Limited,Converge Technologies (Pvt) Ltd.,1
Engro Fertilizers Limited,Jupiter Marine Services Pvt Ltd.,1
Engro Fertilizers Limited,Pakistan Institute of Corporate Governance,2
Engro Fertilizers Limited,Engro Foods Ltd,1
Engro Fertilizers Limited,Engro Corporation Limited,2
Engro Fertilizers Limited,Sindh Board of Investment,1
Engro Fertilizers Limited,Pakhtunkhwa Energy Development Organization,1
Engro Fertilizers Limited,Cyan Ltd,1
Engro Fertilizers Limited,Patek (Pvt) ltd,1
Engro Fertilizers Limited,Sach International (Pvt) ltd,1
Engro Fertilizers Limited,Dawood Lawrencepur Ltd,2
Engro Fertilizers Limited,Tenaga Generasi Ltd,1
Engro Fertilizers Limited,Pebbles (Pvt) ltd,1
Engro Fertilizers Limited,DH Fertilizers,1
Engro Fertilizers Limited,Dawood Industries,1
Engro Fertilizers Limited,Dawood Group,1
Engro Fertilizers Limited,Reon Energy Solutions,1
Engro Fertilizers Limited,Hub Power Holdings,1
Engro Fertilizers Limited,Towershare Pvt Ltd.,1
Engro Fertilizers Limited,Thar Power Co. Ltd.,1
Engro Fertilizers Limited,Engro Management Services Pvt Ltd.,1
Engro Fertilizers Limited,Engro Innovative Automation Pvt Ltd.,1
Engro Fertilizers Limited,Engro Vopak Terminal Ltd.,2
Engro Fertilizers Limited,Engro Powergen Ltd.,2
Engro Fertilizers Limited,Engro Eximp Agriproducts (Pvt) Ltd.,1
Engro Fertilizers Limited,Engro Foundation,1
Engro Fertilizers Limited,Sindh Engro Coal Mining Co. Ltd.,2
Engro Fertilizers Limited,National Commodity Exchange Ltd.,1
Engro Fertilizers Limited,Overseas Investors Chamber of Commerce & Industry,1
Engro Fertilizers Limited,Dawood Corp,1
Engro Fertilizers Limited,Byco Oil Pakistan Ltd.,2
Engro Fertilizers Limited,PICIC Growth Fund,1
Engro Fertilizers Limited,Inbox Business Technologies Pvt. Ltd.,1
Engro Fertilizers Limited,Javed Akbar Associates Pvt ltd,2
Engro Fertilizers Limited,Young Presidents' Organization (Pakistan),2
Engro Corporation Limited,Overseas Investors Chamber of Commerce & Industry,1
Engro Corporation Limited,Alfalah GHP Income Fund,1
Engro Corporation Limited,Alfalah GHP Stock Fund,1
Engro Corporation Limited,Alfalah GHP Islamic Income Fund,1
Engro Corporation Limited,Alfalah GHP Money Market Fund,1
Engro Corporation Limited,IGI Capital Protected Fund,1
Engro Corporation Limited,Young Presidents' Organization (Pakistan),1
Engro Corporation Limited,Asia Care Health & Life Insurance Co. Ltd,2
Engro Corporation Limited,Education Fund for Sindh,1
Engro Corporation Limited,Shaukat Khanum Memorial Trust,1
K Electric Limited,Engro Corporation Limited,1
Engro Corporation Limited,Converge Technologies (Pvt) Ltd.,1
Engro Corporation Limited,Dawood Industries,1
Engro Corporation Limited,Dawood Group,1
Engro Corporation Limited,Reon Energy Solutions,1
Engro Corporation Limited,Hub Power Holdings,1
Engro Corporation Limited,Towershare Pvt Ltd.,1
Engro Fertilizers Limited,Engro Corporation Limited,1
Engro Corporation Limited,Engro Foods Ltd,1
Engro Corporation Limited,i-Care Foundation,2
Engro Corporation Limited,Pakistan Business Council,2
Engro Corporation Limited,Pakistan Centre for Philanthropy,1
Engro Corporation Limited,Beaconhouse National University,1
Engro Corporation Limited,World Economic Forum,1
Engro Corporation Limited,The Indus Entrepreneurs,1
Engro Corporation Limited,Asia House,1
Engro Corporation Limited,Pakistan Education Task Force,1
Engro Corporation Limited,Pakistan Poverty Alleviation Fund,1
Engro Corporation Limited,The Karachi Education Initiative,3
Engro Corporation Limited,Karachi School For Business & Leadership,2
Engro Corporation Limited,Cyan Ltd,2
Engro Corporation Limited,Patek (Pvt) ltd,2
Engro Corporation Limited,Sach International (Pvt) ltd,2
Engro Corporation Limited,Dawood Lawrencepur Ltd,3
Engro Corporation Limited,Tenaga Generasi Ltd,2
Engro Corporation Limited,Pebbles (Pvt) ltd,2
Engro Corporation Limited,DH Fertilizers,2
Engro Corporation Limited,Sirius (Pvt) Ltd.,1
Engro Corporation Limited,Sindh Paper Mills Pvt Ltd,1
Engro Corporation Limited,Engro Vopak Terminal Ltd.,1
Engro Corporation Limited,Engro Polymer Trading (Pvt) Ltd.,1
Engro Corporation Limited,Engro Powergen Ltd.,1
Engro Corporation Limited,Engro Eximp Agriproducts (Pvt) Ltd.,1
Engro Corporation Limited,National Management Foundation,1
Engro Corporation Limited,Overseas Investors Chamber of Commerce & Industry,1
Engro Corporation Limited,Dawood Hercules Corporation ,5
Engro Corporation Limited,British Business Centre,1
Engro Corporation Limited,ICI Pakistan PowerGen ltd,1
Engro Corporation Limited,Duke of Edinburghs Award Foundation of Pakistan,1
Engro Corporation Limited,TPL Direct Insurance Ltd,1
Dawood Hercules Corporation ,The Dawood Foundation,1
Dawood Hercules Corporation ,Javed Akbar Associates Pvt ltd,1
Dawood Hercules Corporation ,The Help Care Society,1
Dawood Hercules Corporation ,Pakistan Institute of Corporate Governance,1
Dawood Hercules Corporation ,Dawood Corp,3
Dawood Hercules Corporation ,Injaz Pakistan,1
Dawood Hercules Corporation ,Thar Power Co. Ltd.,1
Dawood Hercules Corporation ,Sindh Engro Coal Mining Co. Ltd.,1
Dawood Hercules Corporation ,Overseas Investors Chamber of Commerce & Industry,1
Dawood Hercules Corporation ,Young Presidents' Organization (Pakistan),1
Dawood Hercules Corporation ,Towershare Pvt Ltd.,1
Dawood Hercules Corporation ,Reon Energy Solutions,1
Dawood Hercules Corporation ,Engro Foods Ltd,2
Dawood Hercules Corporation ,Pakistan Business Council,1
Dawood Hercules Corporation ,Pakistan Poverty Alleviation Fund,1
Dawood Hercules Corporation ,The Karachi Education Initiative,2
Dawood Hercules Corporation ,Karachi School For Business & Leadership,3
Dawood Hercules Corporation ,Pakistan Centre for Philanthropy,1
Dawood Hercules Corporation ,Beaconhouse National University,1
Dawood Hercules Corporation ,World Economic Forum,1
Dawood Hercules Corporation ,The Indus Entrepreneurs,1
Dawood Hercules Corporation ,Asia House,1
Dawood Hercules Corporation ,Pakistan Education Task Force,1
Dawood Hercules Corporation ,Cyan Ltd,2
Dawood Hercules Corporation ,Patek (Pvt) ltd,2
Dawood Hercules Corporation ,Sach International (Pvt) ltd,2
Dawood Hercules Corporation ,Dawood Lawrencepur Ltd,4
Dawood Hercules Corporation ,Tenaga Generasi Ltd,2
Dawood Hercules Corporation ,Pebbles (Pvt) ltd,2
Dawood Hercules Corporation ,DH Fertilizers,2
Dawood Hercules Corporation ,Sirius (Pvt) Ltd.,1
Dawood Hercules Corporation ,Sindh Paper Mills Pvt Ltd,1
Dawood Hercules Corporation ,Engro Vopak Terminal Ltd.,1
Dawood Hercules Corporation ,Engro Powergen Ltd.,2
Dawood Hercules Corporation ,Engro Eximp Agriproducts (Pvt) Ltd.,1
Dawood Hercules Corporation ,National Management Foundation,2
Dawood Hercules Corporation ,i-Care Foundation,1
Dawood Hercules Corporation ,Indus Motor Comp Ltd,1
Dawood Hercules Corporation ,Dawood Industries,1
Dawood Hercules Corporation ,Dawood Group,1
Dawood Hercules Corporation ,Converge Technologies (Pvt) Ltd.,1
Arif Habib Corporation,Engro Powergen Qadirpur Ltd,1
Arif Habib Corporation,LMKR Holdings (Pvt) Ltd.,1
Arif Habib Corporation,Safe Mix Concrete Ltd,3
Arif Habib Corporation,Javedan Corporation Ltd,4
Arif Habib Corporation,Power Cement ltd,4
Arif Habib Corporation,Rotocast Engineering Co. (Pvt) Ltd.,2
Arif Habib Corporation,Arif Habib Foundation,4
Arif Habib Corporation,Real Estate Modaraba Management Co ltd,3
Arif Habib Corporation,Nooriabad Spinning Mills ltd,2
Arif Habib Corporation,Drh Logistics Pakistan (Pvt) Ltd.,2
Arif Habib Corporation,Arif Habib Consultancy,1
Arif Habib Corporation,Institute of Capital Markets,4
Arif Habib Corporation,Remmco Builders & Developers Ltd.,1
Arif Habib Corporation,Memon Health & Education Foundation,1
Arif Habib Corporation,fatimafert ltd,1
Arif Habib Corporation,Institute of Chartered Accountant of Pakistan,2
Arif Habib Corporation,Arif Habib Equity (Pvt) Ltd,4
Arif Habib Corporation,Serendib Stock Brockers Pvt ltd,2
Arif Habib Corporation,Arif Habib Real Estate Services,2
Arif Habib Corporation,Pakistan Institute of Capital Markets,2
Arif Habib Corporation,REIT Management Ltd,1
Arif Habib Corporation,Sukh Chayn Gardens Pvt Ltd.,1
Arif Habib Corporation,Parkview Co. Ltd.,1
Arif Habib Corporation,International Complex Project Ltd,1
Arif Habib Corporation,Sweetwater Dairies Pakistan (Pvt) Ltd.,1
Arif Habib Corporation,Pakistan Private Equity Management Ltd.,3
Arif Habib Corporation,Arif Habib DMCC,1
Arif Habib Corporation,PICIC Asset Management Co ltd,1
Arif Habib Corporation,Saudi Pak Insurance Co ltd,1
Arif Habib Corporation,Beg Associates,1
Arif Habib Corporation,Thatta Power Pvt Ltd,1
Arif Habib Corporation,Summit Bank ltd,1
Arif Habib Corporation,Asia Care Health & Life Insurance Co. Ltd,1
Arif Habib Corporation,MCB-Arif Habib Savings and Invts Ltd,3
Arif Habib Corporation,Aisha Steel Mills Ltd,1
Arif Habib Corporation,Pak Elektron Limited,1
Arif Habib Corporation,Pakistan Opportunities Ltd,3
Arif Habib Corporation,Arif Habib Dolmein Reit Management Ltd,4
Arif Habib Corporation,Sui Northern Gas Pipeline  Limited,1
Arif Habib Corporation,Pakistan International Airlines Corp,1
Arif Habib Corporation,Mutual Funds Association of Pakistan,1
Bestway Cement Limited,Platinum Securities Pvt Ltd.,1
Bestway Cement Limited,Bestway Group UK,2
Bestway Cement Limited,Batleys Limited,2
Bestway Cement Limited,Pakistan Business Council,1
Bestway Cement Limited,Duke of Edinburghs Award Foundation of Pakistan,1
