Company1,Company2,weight
National Bank Of Pakistan,Pakistan Sports Trust,1
National Bank Of Pakistan,Marie Adelaide Leprosy Centre,1
National Bank Of Pakistan,Greenstar Social Marketing Pakistan (Guarantee) Ltd.,1
National Bank Of Pakistan,Professional Education Foundation,1
National Bank Of Pakistan,Family Education Services Foundation,1
National Bank Of Pakistan,Chenab Ltd,1
National Bank Of Pakistan,Lahore Tax Bar Association,1
National Bank Of Pakistan,Allied Bank Limited,1
National Bank Of Pakistan,Institute of Chartered Accountant of Pakistan,1
National Bank Of Pakistan,Pakistan Institute of Corporate Governance,1
Bank- Alfalah Pakistan,Alfalah Insurance Company Limited,3
Bank- Alfalah Pakistan,Minister of the UAE Federal Cabinet,1
Bank- Alfalah Pakistan,Ministry of Higher Education and Scientific Research,1
Bank- Alfalah Pakistan,"Royal Jet, the premier aircraft charter company in the Middle East",1
Bank- Alfalah Pakistan,Abu Dhabi Group (Private Equity),1
Bank- Alfalah Pakistan,General Civil Aviation Authority,1
Bank- Alfalah Pakistan,Al Razi Healthcare Pvt Ltd.,1
Bank- Alfalah Pakistan,Warid Communications Ltd.,1
Bank- Alfalah Pakistan,Abu Dhabi Media Co.,1
Bank- Alfalah Pakistan,Abu Dhabi Aircraft Technologies PJSC,1
Bank- Alfalah Pakistan,Abu Dhabi Cricket Club,1
Bank- Alfalah Pakistan,Abu Dhabi Natural History Group,1
Bank- Alfalah Pakistan,Abu Dhabi Music & Arts,1
Bank- Alfalah Pakistan,Al Nasser Holdings and Group Companies,1
Bank- Alfalah Pakistan,Target Energy Group Ltd.,1
Bank- Alfalah Pakistan,Abu Dhabi Commercial Bank ltd,1
Bank- Alfalah Pakistan,Makhazen Investment Co.,1
Bank- Alfalah Pakistan,UAE Banks Federation,1
Bank- Alfalah Pakistan,Alfalah Exchange  Co.,1
Bank- Alfalah Pakistan,Al Otaiba Group,1
Bank- Alfalah Pakistan,Ghantoot International Real State,1
Bank- Alfalah Pakistan,Royal Mirage Hotel & Resort Ltd.,1
Bank- Alfalah Pakistan,Liwa International Tourist Investment LLC,1
Bank- Alfalah Pakistan,Uniliver Pakistan Food ltd,1
Bank- Alfalah Pakistan,National Productivity Organization,1
Bank- Alfalah Pakistan,Karwan-e-Hayat,1
Bank- Alfalah Pakistan,Safari & Outdoor Club of Pakistan,1
Bank- Alfalah Pakistan,Safari Club Ltd,1
Bank- Alfalah Pakistan,Government of Pakistan,1
Bank- Alfalah Pakistan,Overseas Investors Chamber of Commerce & Industry,1
Bank- Alfalah Pakistan,Pakistan Business Council,1
Bank- Alfalah Pakistan,Pakistan International Airlines Corp,1
Bank- Alfalah Pakistan,The Institute of Bankers Pakistan,1
Bank- Alfalah Pakistan,Board of Investment Pakistan,1
